T That that
N 0 4154
N 3 4615
N 3 5538
N 3 6000
N 2 6462
N 2 6923
N 0 7846
N 2 8769
N 3 9692
N 1 10154
N 4 10615
N 2 11077
N 2 11538
N 0 12000
N 0 12462
N 4 12923
N 0 13385
N 0 13846
N 2 14308
N 2 15231
N 3 15692
N 2 16154
N 2 17077
N 2 17538
N 0 18462
N 1 18923
N 3 19846
N 2 20308
N 4 21231
N 2 21692
N 3 22154
N 3 22615
N 1 23077
N 4 23538
N 1 24000
N 0 24923
N 1 25385
N 1 26308
N 3 26769
N 3 27231
N 3 27692
N 1 28154
N 3 28615
N 1 29538
N 0 30000
N 0 30462
N 2 31385
N 0 32308
N 4 32769
N 4 33231
N 3 34154
N 0 34615
N 2 35077
N 4 35538
N 1 36462
N 4 37385
N 4 38308
N 3 39231
N 3 40154
N 3 40615
N 0 41077
N 2 41538
N 1 42000
N 1 42462
N 3 42923
N 3 43385
N 0 43846
N 3 44308
N 2 44769
N 3 45231
N 0 46154
N 3 46615
N 0 47077
N 2 48000
N 3 48462
N 3 48923
N 2 49385
N 4 49846
N 0 50769
N 0 51231
N 1 51692
N 3 52154
N 3 52615
N 1 53077
N 0 53538
N 3 54462
N 2 54923
N 3 55385
N 3 55846
N 2 56769
N 2 57231
N 1 57692
N 2 58154
N 0 59077
