T TOMBOY
N 0 3387
N 1 3871
N 2 4839
N 2 5806
N 0 6290
N 3 6774
N 0 7258
N 4 7742
N 2 8710
N 1 9194
N 1 10161
N 0 10645
N 3 11613
N 1 12097
N 2 13065
N 0 13548
N 3 14032
N 4 15000
N 3 15968
N 1 16935
N 2 17903
N 4 18387
N 1 19355
N 3 19839
N 3 20323
N 4 20806
N 0 21290
N 1 22258
N 3 22742
N 3 23710
N 2 24194
N 4 24677
N 2 25645
N 0 26129
N 2 26613
N 4 27097
N 3 27581
N 3 28065
N 1 28548
N 0 29032
N 3 29516
N 2 30000
N 3 30968
N 0 31452
N 0 31935
N 0 32419
N 3 32903
N 4 33387
N 2 33871
N 2 34355
N 0 35323
N 0 36290
N 3 36774
N 4 37258
N 3 37742
N 3 38710
N 3 39194
N 4 39677
N 2 40161
N 1 40645
N 2 41613
N 4 42097
N 3 42581
N 3 43548
N 1 44032
N 0 44516
N 4 45000
N 2 45968
N 0 46935
N 0 47419
N 3 47903
N 3 48387
N 4 48871
N 1 49355
N 4 49839
N 2 50323
N 0 50806
N 2 51290
N 3 52258
N 2 52742
N 3 53226
N 4 53710
N 4 54677
N 4 55161
N 2 55645
N 0 56129
N 4 56613
N 0 57097
N 0 57581
N 2 58065
N 2 58548
N 0 59516
N 0 60000
N 4 60968
